Reference,Value,Datasheet,Footprint,Qty,DNP
,,,,,
,,,,,
"CHRG1,STAT1",LED,~,LED_SMD:LED_0402_1005Metric,2,
,,,,,
CN2,1.25T-2AW,http://www.szlcsc.com/product/details_157311.html,uSlime-libs:CONN-TH_2P-P1.25_1.25T-2AW,1,
,,,,,
J1,USB_C_Receptacle_USB2.0_14P,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TP1,SDA,~,TestPoint:TestPoint_Pad_2.0x2.0mm,1,
TP2,SCL,~,TestPoint:TestPoint_Pad_2.0x2.0mm,1,
"TP3,TP4",IO14,~,TestPoint:TestPoint_Pad_2.0x2.0mm,2,
TP5,3.3V,~,TestPoint:TestPoint_Pad_2.0x2.0mm,1,
TP6,GND,~,TestPoint:TestPoint_Pad_2.0x2.0mm,1,
TP7,VBUS,~,TestPoint:TestPoint_Pad_2.0x2.0mm,1,
,,,,,
U3,AP2112K-3.3TRG1,,uSlime-libs:SOT95P285X140-5N,1,
U4,MCP73831T-2ACI/OT,MCP73831T-2ACI/OT,uSlime-libs:SOT-23-5_MC_MCH,1,
U5,BNO085,BNO085,uSlime-libs:LGA28_5.2X3.8_CEV,1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"C1,C2,C6,C9",0.1uF,~,Capacitor_SMD:C_0402_1005Metric,4,
"C3,C4,C5",10uF,~,Capacitor_SMD:C_0402_1005Metric,3,
"D1,D2",D,~,Diode_SMD:D_0402_1005Metric,2,
,,,,,
R1,100k,~,Resistor_SMD:R_0402_1005Metric,1,
R2,100k,~,Resistor_SMD:R_0402_1005Metric,1,
,,,,,
R3,180k,~,Resistor_SMD:R_0402_1005Metric,1,
"R4,R8",1k,~,Resistor_SMD:R_0402_1005Metric,2,
R5,4.7k,~,Resistor_SMD:R_0402_1005Metric,1,
"R6,R7",5.1k,~,Resistor_SMD:R_0402_1005Metric,2,
,,,,,
,,,,,
CN1,X1502WR-05K-N0SN,http://www.szlcsc.com/product/details_587019.html,uSlime-libs:CONN-TH_5P-P1.50_X1502WR-05K-N0SN,1,
U6,MSK-12C02_SMD_SPDT_SWITCH,,uSlime-libs:SW_PCM12SMTR,1,
RESET1,SW_Push,~,Button_Switch_SMD:SW_SPST_B3U-1000P-B,1,
U1,ESP32-C6-MINI-1,,PCM_Espressif:ESP32-C6-MINI-1,1,
