Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,4.35,-7.25,180.0,top
C2,0.1uF,C_0402_1005Metric,12.95,-7.6,90.0,top
C3,0.1uF,C_0402_1005Metric,2.2,-5.05,-90.0,top
C4,0.1uF,C_0402_1005Metric,5.75,-11.4,180.0,top
CN1,X1502WR-05K-N0SN,CONN-TH_5P-P1.50_X1502WR-05K-N0SN,8.355,-5.15,180.0,top
J1,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,8.345,-2.3,-90.0,top
R1,10k,R_0402_1005Metric,4.799,-8.76,-90.0,top
R2,10k,R_0402_1005Metric,7.65,-11.4,180.0,top
R3,2.2k,R_0402_1005Metric,3.2,-5.05,-90.0,top
R4,2.2k,R_0402_1005Metric,11.9,-7.59,-90.0,top
R5,10k,R_0402_1005Metric,9.55,-11.4,0.0,top
R6,2.2k,R_0402_1005Metric,11.45,-11.4,0.0,top
R7,2.2k,R_0402_1005Metric,11.9,-9.55,-90.0,top
U1,BNO085,BNO080,8.3246,-8.54907,0.0,top
